x_cords,y_cords
603.0,304.5
599.5,221.0
612.5,163.0
574.0,149.0
572.0,122.0
539.0,206.0
490.0,261.5
340.5,300.5
249.0,261.0
241.5,250.0
201.5,172.0
206.5,184.5
213.0,147.5
228.0,138.0
171.0,216.0
131.5,321.5
166.0,362.5
194.0,361.0
202.0,358.0
208.5,352.0
209.0,347.5
215.5,324.5
232.0,307.0
230.5,278.5
176.5,281.0
169.5,297.0
168.0,292.5
157.5,277.5
157.5,280.0
158.0,273.0
161.0,293.5
165.5,297.0
167.0,299.0
167.5,297.5
176.5,298.0
178.5,301.5
180.5,296.0
235.0,279.0
261.5,286.5
292.5,282.5
451.5,313.5
540.0,372.0
583.0,363.5
575.5,362.0
597.5,329.5
619.5,288.5
540.5,233.0
473.5,248.0
277.5,267.5
246.5,220.0
255.5,218.5
263.5,199.0
254.0,216.5
241.0,198.5
253.0,204.0
249.5,207.0
241.5,224.5
233.0,225.5
242.0,224.0
210.5,215.5
207.5,226.0
238.5,232.5
207.0,364.0
186.5,353.5
175.5,303.5
173.5,296.5
174.5,295.5
157.5,292.0
170.5,298.5
171.0,297.0
171.5,297.5
173.5,297.0
178.5,298.0
175.0,297.5
178.5,297.5
155.5,283.5
167.5,297.0
170.0,294.5
154.0,286.0
169.5,298.0
167.0,295.5
155.5,288.5
171.5,298.5
177.0,302.0
179.0,304.0
177.0,306.0
179.0,312.0
234.0,313.5
249.0,318.5
272.5,313.5
375.5,312.5
487.0,300.5
546.5,318.0
575.0,313.0
563.0,313.0
582.0,302.0
574.0,303.0
567.5,285.0
581.0,307.5
569.5,308.5
564.0,305.0
565.0,308.5
563.5,304.5
564.0,318.0
572.0,323.0
556.0,309.5
555.0,303.0
554.5,297.5
556.5,296.0
554.5,293.5
555.5,293.5
558.5,299.5
559.5,310.5
560.0,309.5
576.5,309.0
572.5,309.5
566.5,315.5
573.0,301.0
580.0,292.5
594.5,290.0
600.0,308.0
616.5,321.0
616.5,321.5
615.5,320.0
617.0,321.5
617.5,331.0
617.0,325.5
617.5,323.0
617.0,327.0
618.0,323.0
617.5,322.5
618.0,322.0
617.5,322.0
617.5,325.0
616.5,324.5
617.0,326.5
618.0,336.0
617.5,335.5
618.0,331.5
616.5,329.0
616.0,326.0
615.5,327.0
616.0,325.0
616.0,325.0
615.5,325.0
616.0,325.5
616.0,325.5
616.0,325.0
616.0,325.0
616.0,325.5
616.0,325.0
615.5,324.0
615.5,324.5
616.0,324.5
615.5,325.0
615.5,325.0
602.0,329.0
614.0,327.5
603.0,325.5
603.5,324.5
602.5,325.5
616.5,329.0
616.5,326.5
602.5,325.5
603.0,325.5
602.5,322.5
612.5,326.0
600.0,338.0
597.5,339.0
599.5,334.0
595.0,337.0
597.5,334.5
616.5,326.0
616.0,327.0
616.5,325.0
616.5,323.0
617.0,323.0
617.5,328.0
617.0,323.0
600.0,281.5
503.0,244.5
313.5,281.5
224.5,240.0
132.5,281.5
145.0,389.5
214.5,376.0
284.5,314.5
360.5,288.5
491.5,338.0
583.0,446.0
609.5,477.5
572.5,458.0
574.5,436.5
510.0,360.0
412.5,311.0
252.0,286.0
244.0,276.0
238.0,269.5
224.5,340.5
140.5,414.5
