mouse_id,phase,room_id,room_time
0065-0136670531,PHASE 1 dark,1.0,12384487.0
0065-0136670531,PHASE 1 dark,2.0,4870339.0
0065-0136670531,PHASE 1 dark,3.0,28913139.0
0065-0136670531,PHASE 1 dark,4.0,1879176.0
0065-0136670531,PHASE 1 light,1.0,30816433.0
0065-0136670531,PHASE 1 light,2.0,1280513.0
0065-0136670531,PHASE 1 light,3.0,501761.0
0065-0136670531,PHASE 1 light,4.0,3768125.0
0065-0136670531,PHASE 2 dark,1.0,32988723.0
0065-0136670531,PHASE 2 dark,2.0,12883110.0
0065-0136670531,PHASE 2 dark,3.0,1036560.0
0065-0136670531,PHASE 2 dark,4.0,4793462.0
0065-0136670531,PHASE 2 light,1.0,550472.0
0065-0136670531,PHASE 2 light,2.0,31859322.0
0065-0136670531,PHASE 2 light,3.0,491093.0
0065-0136670531,PHASE 2 light,4.0,547612.0
0065-0136670531,PHASE 3 dark,1.0,14174756.0
0065-0136670531,PHASE 3 dark,2.0,28255959.0
0065-0136670531,PHASE 3 dark,3.0,623347.0
0065-0136670531,PHASE 3 dark,4.0,1454183.0
0065-0136670531,PHASE 3 light,1.0,9868656.0
0065-0136670531,PHASE 3 light,2.0,27871444.0
0065-0136670531,PHASE 3 light,3.0,121958.0
0065-0136670531,PHASE 3 light,4.0,23712.0
0065-0136659459,PHASE 1 dark,1.0,20886663.0
0065-0136659459,PHASE 1 dark,2.0,6440923.0
0065-0136659459,PHASE 1 dark,3.0,12502429.0
0065-0136659459,PHASE 1 dark,4.0,5626986.0
0065-0136659459,PHASE 1 light,1.0,20569934.0
0065-0136659459,PHASE 1 light,2.0,808820.0
0065-0136659459,PHASE 1 light,3.0,671785.0
0065-0136659459,PHASE 1 light,4.0,3539449.0
0065-0136659459,PHASE 2 dark,1.0,21525622.0
0065-0136659459,PHASE 2 dark,2.0,14606852.0
0065-0136659459,PHASE 2 dark,3.0,6051399.0
0065-0136659459,PHASE 2 dark,4.0,7965045.0
0065-0136659459,PHASE 2 light,1.0,1334854.0
0065-0136659459,PHASE 2 light,2.0,31230536.0
0065-0136659459,PHASE 2 light,3.0,1207582.0
0065-0136659459,PHASE 2 light,4.0,1090060.0
0065-0136659459,PHASE 3 dark,1.0,27052840.0
0065-0136659459,PHASE 3 dark,2.0,9910860.0
0065-0136659459,PHASE 3 dark,3.0,4683169.0
0065-0136659459,PHASE 3 dark,4.0,5492754.0
0065-0136659459,PHASE 3 light,1.0,10801699.0
0065-0136659459,PHASE 3 light,2.0,25263573.0
0065-0136659459,PHASE 3 light,3.0,959792.0
0065-0136659459,PHASE 3 light,4.0,1449504.0
0065-0136665886,PHASE 1 dark,1.0,13858618.0
0065-0136665886,PHASE 1 dark,2.0,5497137.0
0065-0136665886,PHASE 1 dark,3.0,18140427.0
0065-0136665886,PHASE 1 dark,4.0,3703300.0
0065-0136665886,PHASE 1 light,1.0,32389892.0
0065-0136665886,PHASE 1 light,2.0,1489613.0
0065-0136665886,PHASE 1 light,3.0,1459176.0
0065-0136665886,PHASE 1 light,4.0,7464341.0
0065-0136665886,PHASE 2 dark,1.0,23063144.0
0065-0136665886,PHASE 2 dark,2.0,16148112.0
0065-0136665886,PHASE 2 dark,3.0,5250447.0
0065-0136665886,PHASE 2 dark,4.0,6616534.0
0065-0136665886,PHASE 2 light,1.0,954542.0
0065-0136665886,PHASE 2 light,2.0,28556620.0
0065-0136665886,PHASE 2 light,3.0,776051.0
0065-0136665886,PHASE 2 light,4.0,545666.0
0065-0136665886,PHASE 3 dark,1.0,7929270.0
0065-0136665886,PHASE 3 dark,2.0,33650978.0
0065-0136665886,PHASE 3 dark,3.0,1677869.0
0065-0136665886,PHASE 3 dark,4.0,1281488.0
0065-0136665886,PHASE 3 light,1.0,5489763.0
0065-0136665886,PHASE 3 light,2.0,34245342.0
0065-0136665886,PHASE 3 light,3.0,713083.0
0065-0136665886,PHASE 3 light,4.0,825741.0
