average_meeting_duration,mice_combination,number_of_meetings,phase,room_id,total_meeting_duration
297884.17142857146,0065-0136670531_0065-0136659459,35,PHASE 1 dark,1,10425946
21188.054545454546,0065-0136670531_0065-0136659459,55,PHASE 1 dark,2,1165343
69419.691780821915,0065-0136670531_0065-0136659459,146,PHASE 1 dark,3,10135275
12425.375,0065-0136670531_0065-0136659459,32,PHASE 1 dark,4,397612
504653.63888888888,0065-0136670531_0065-0136659459,36,PHASE 1 light,1,18167531
68854.166666666672,0065-0136670531_0065-0136659459,6,PHASE 1 light,2,413125
2855.8888888888887,0065-0136670531_0065-0136659459,9,PHASE 1 light,3,25703
63272.720000000001,0065-0136670531_0065-0136659459,25,PHASE 1 light,4,1581818
140325.02380952382,0065-0136670531_0065-0136659459,126,PHASE 2 dark,1,17680953
324355.46428571426,0065-0136670531_0065-0136659459,28,PHASE 2 dark,2,9081953
17691.363636363636,0065-0136670531_0065-0136659459,11,PHASE 2 dark,3,194605
49190.923076923078,0065-0136670531_0065-0136659459,26,PHASE 2 dark,4,1278964
7695.333333333333,0065-0136670531_0065-0136659459,6,PHASE 2 light,1,46172
410963.1911764706,0065-0136670531_0065-0136659459,68,PHASE 2 light,2,27945497
11373.888888888889,0065-0136670531_0065-0136659459,9,PHASE 2 light,3,102365
9461.8333333333339,0065-0136670531_0065-0136659459,6,PHASE 2 light,4,56771
290417.48387096776,0065-0136670531_0065-0136659459,31,PHASE 3 dark,1,9002942
72093.834782608697,0065-0136670531_0065-0136659459,115,PHASE 3 dark,2,8290791
25757.666666666668,0065-0136670531_0065-0136659459,6,PHASE 3 dark,3,154546
117395.14285714286,0065-0136670531_0065-0136659459,7,PHASE 3 dark,4,821766
443902.9411764706,0065-0136670531_0065-0136659459,17,PHASE 3 light,1,7546350
444022.73469387757,0065-0136670531_0065-0136659459,49,PHASE 3 light,2,21757114
14325.268292682927,0065-0136670531_0065-0136665886,41,PHASE 1 dark,1,587336
23233.326923076922,0065-0136670531_0065-0136665886,52,PHASE 1 dark,2,1208133
100648.64189189189,0065-0136670531_0065-0136665886,148,PHASE 1 dark,3,14895999
10107.205882352941,0065-0136670531_0065-0136665886,34,PHASE 1 dark,4,343645
353217.07142857142,0065-0136670531_0065-0136665886,70,PHASE 1 light,1,24725195
5893.0,0065-0136670531_0065-0136665886,5,PHASE 1 light,2,29465
14849.5,0065-0136670531_0065-0136665886,6,PHASE 1 light,3,89097
105961.54545454546,0065-0136670531_0065-0136665886,22,PHASE 1 light,4,2331154
82999.360730593602,0065-0136670531_0065-0136665886,219,PHASE 2 dark,1,18176860
461460.72727272729,0065-0136670531_0065-0136665886,22,PHASE 2 dark,2,10152136
13630.083333333334,0065-0136670531_0065-0136665886,12,PHASE 2 dark,3,163561
23800.0,0065-0136670531_0065-0136665886,40,PHASE 2 dark,4,952000
15914.6,0065-0136670531_0065-0136665886,5,PHASE 2 light,1,79573
238633.34821428571,0065-0136670531_0065-0136665886,112,PHASE 2 light,2,26726935
2812.3333333333335,0065-0136670531_0065-0136665886,3,PHASE 2 light,3,8437
993.0,0065-0136670531_0065-0136665886,2,PHASE 2 light,4,1986
61366.73333333333,0065-0136670531_0065-0136665886,15,PHASE 3 dark,1,920501
176512.87681159421,0065-0136670531_0065-0136665886,138,PHASE 3 dark,2,24358777
656.75,0065-0136670531_0065-0136665886,4,PHASE 3 dark,3,2627
18955.0,0065-0136670531_0065-0136665886,7,PHASE 3 dark,4,132685
704059.09999999998,0065-0136670531_0065-0136665886,10,PHASE 3 light,1,7040591
518940.375,0065-0136670531_0065-0136665886,48,PHASE 3 light,2,24909138
73153.450980392154,0065-0136670531_0065-0136651817,51,PHASE 1 dark,1,3730826
14867.073529411764,0065-0136670531_0065-0136651817,68,PHASE 1 dark,2,1010961
87656.326086956527,0065-0136670531_0065-0136651817,138,PHASE 1 dark,3,12096573
8577.6388888888887,0065-0136670531_0065-0136651817,36,PHASE 1 dark,4,308795
230148.17000000001,0065-0136670531_0065-0136651817,100,PHASE 1 light,1,23014817
14575.0,0065-0136670531_0065-0136651817,5,PHASE 1 light,2,72875
10561.333333333334,0065-0136670531_0065-0136651817,3,PHASE 1 light,3,31684
57774.5,0065-0136670531_0065-0136651817,14,PHASE 1 light,4,808843
110442.87654320987,0065-0136670531_0065-0136651817,162,PHASE 2 dark,1,17891746
149181.125,0065-0136670531_0065-0136651817,16,PHASE 2 dark,2,2386898
18513.888888888891,0065-0136670531_0065-0136651817,9,PHASE 2 dark,3,166625
49642.681818181816,0065-0136670531_0065-0136651817,22,PHASE 2 dark,4,1092139
15077.0,0065-0136670531_0065-0136651817,2,PHASE 2 light,1,30154
198312.592,0065-0136670531_0065-0136651817,125,PHASE 2 light,2,24789074
1346.0,0065-0136670531_0065-0136651817,2,PHASE 2 light,3,2692
7801.3999999999996,0065-0136670531_0065-0136651817,5,PHASE 2 light,4,39007
251980.75,0065-0136670531_0065-0136651817,32,PHASE 3 dark,1,8063384
94027.893805309737,0065-0136670531_0065-0136651817,113,PHASE 3 dark,2,10625152
20612.799999999999,0065-0136670531_0065-0136651817,5,PHASE 3 dark,3,103064
32567.200000000001,0065-0136670531_0065-0136651817,10,PHASE 3 dark,4,325672
198406.3448275862,0065-0136670531_0065-0136651817,29,PHASE 3 light,1,5753784
449956.9347826087,0065-0136670531_0065-0136651817,46,PHASE 3 light,2,20698019
11565.0,0065-0136670531_0065-0136651817,2,PHASE 3 light,4,23130
70708.24590163934,0065-0136670531_0065-0136655780,61,PHASE 1 dark,1,4313203
17300.913793103449,0065-0136670531_0065-0136655780,58,PHASE 1 dark,2,1003453
24494.231155778896,0065-0136670531_0065-0136655780,199,PHASE 1 dark,3,4874352
11652.351351351352,0065-0136670531_0065-0136655780,37,PHASE 1 dark,4,431137
359538.22077922081,0065-0136670531_0065-0136655780,77,PHASE 1 light,1,27684443
67236.333333333328,0065-0136670531_0065-0136655780,3,PHASE 1 light,2,201709
8319.6666666666661,0065-0136670531_0065-0136655780,3,PHASE 1 light,3,24959
131886.0,0065-0136670531_0065-0136655780,13,PHASE 1 light,4,1714518
124494.93063583814,0065-0136670531_0065-0136655780,173,PHASE 2 dark,1,21537623
750052.58333333337,0065-0136670531_0065-0136655780,12,PHASE 2 dark,2,9000631
7421.25,0065-0136670531_0065-0136655780,4,PHASE 2 dark,3,29685
36764.959999999999,0065-0136670531_0065-0136655780,25,PHASE 2 dark,4,919124
5324.0,0065-0136670531_0065-0136655780,2,PHASE 2 light,1,10648
371967.34523809527,0065-0136670531_0065-0136655780,84,PHASE 2 light,2,31245257
11354.6,0065-0136670531_0065-0136655780,5,PHASE 2 light,3,56773
213102.26315789475,0065-0136670531_0065-0136655780,19,PHASE 3 dark,1,4048943
