No,Size,Intensity,Animal_number,Picture_number,Age
1.0,2.046348,172.56725,912.0,1.0,23.0
2.0,2.160691,220.771969,912.0,1.0,23.0
3.0,2.146303,268.172057,912.0,1.0,23.0
4.0,2.132831,337.127892,912.0,1.0,23.0
5.0,2.23684,252.078708,912.0,1.0,23.0
6.0,2.377866,365.468044,912.0,1.0,23.0
7.0,2.33928,291.175555,912.0,1.0,23.0
8.0,2.394436,370.28431,912.0,1.0,23.0
9.0,2.312771,231.360196,912.0,1.0,23.0
10.0,2.673257,263.157711,912.0,1.0,23.0
11.0,2.422839,331.071302,912.0,1.0,23.0
12.0,2.347009,285.319977,912.0,1.0,23.0
13.0,2.076798,312.324448,912.0,1.0,23.0
14.0,2.569435,399.601535,912.0,1.0,23.0
15.0,2.515978,253.631409,912.0,1.0,23.0
16.0,2.160313,241.570158,912.0,1.0,23.0
17.0,2.371385,314.560799,912.0,1.0,23.0
18.0,2.433824,329.156703,912.0,1.0,23.0
19.0,2.237314,331.828844,912.0,1.0,23.0
20.0,2.102683,303.437312,912.0,1.0,23.0
21.0,2.648677,248.421993,912.0,1.0,23.0
22.0,2.438086,350.436039,912.0,1.0,23.0
23.0,2.355953,259.45087,912.0,1.0,23.0
24.0,2.527491,330.076244,912.0,1.0,23.0
25.0,2.16304,261.909846,912.0,1.0,23.0
26.0,2.126251,315.290006,912.0,1.0,23.0
27.0,2.346069,353.143977,912.0,1.0,23.0
28.0,2.131765,239.482083,912.0,1.0,23.0
29.0,2.427523,398.770668,912.0,1.0,23.0
30.0,2.080419,324.988258,912.0,1.0,23.0
31.0,2.328006,185.566448,912.0,1.0,23.0
32.0,2.293456,405.756673,912.0,1.0,23.0
33.0,2.088561,424.006157,912.0,1.0,23.0
34.0,2.206963,297.280318,912.0,1.0,23.0
35.0,2.430301,270.74531,912.0,1.0,23.0
36.0,2.329101,182.749513,912.0,1.0,23.0
37.0,2.496253,173.125396,912.0,1.0,23.0
38.0,2.49189,338.513326,912.0,1.0,23.0
1.0,2.50971,356.191447,912.0,2.0,23.0
2.0,2.422679,249.926,912.0,2.0,23.0
3.0,2.407664,319.623483,912.0,2.0,23.0
4.0,2.572917,299.614547,912.0,2.0,23.0
5.0,2.450365,376.620412,912.0,2.0,23.0
6.0,2.119121,335.734972,912.0,2.0,23.0
7.0,2.547644,293.978641,912.0,2.0,23.0
8.0,2.591125,397.195046,912.0,2.0,23.0
9.0,2.609315,373.515734,912.0,2.0,23.0
10.0,2.632567,243.618897,912.0,2.0,23.0
11.0,2.225445,333.139928,912.0,2.0,23.0
12.0,2.114498,308.962952,912.0,2.0,23.0
13.0,2.670701,284.600306,912.0,2.0,23.0
14.0,2.007984,256.929628,912.0,2.0,23.0
15.0,2.679378,408.018435,912.0,2.0,23.0
16.0,2.426404,335.795833,912.0,2.0,23.0
17.0,2.561186,343.920988,912.0,2.0,23.0
18.0,2.151023,207.714588,912.0,2.0,23.0
19.0,2.4578,315.627213,912.0,2.0,23.0
20.0,2.41149,318.44438,912.0,2.0,23.0
21.0,2.175918,351.954532,912.0,2.0,23.0
22.0,2.310345,288.314482,912.0,2.0,23.0
23.0,2.022623,278.924923,912.0,2.0,23.0
24.0,2.615485,350.310588,912.0,2.0,23.0
25.0,2.358259,336.045443,912.0,2.0,23.0
26.0,2.125003,368.987396,912.0,2.0,23.0
27.0,2.521537,359.430922,912.0,2.0,23.0
28.0,2.549399,364.778199,912.0,2.0,23.0
29.0,2.471262,247.795421,912.0,2.0,23.0
30.0,2.12454,306.257366,912.0,2.0,23.0
31.0,2.271705,325.993747,912.0,2.0,23.0
32.0,2.480575,267.845112,912.0,2.0,23.0
33.0,2.648474,336.061893,912.0,2.0,23.0
34.0,2.047645,362.977896,912.0,2.0,23.0
35.0,2.541233,373.832513,912.0,2.0,23.0
36.0,2.500343,341.568854,912.0,2.0,23.0
37.0,2.157488,411.276652,912.0,2.0,23.0
38.0,2.293142,346.738488,912.0,2.0,23.0
39.0,2.063476,393.644495,912.0,2.0,23.0
40.0,2.183219,268.005752,912.0,2.0,23.0
41.0,2.301413,301.928655,912.0,2.0,23.0
