Animal number,1212
Age,18
Picture number,2
No,Size,Intensity
1,3.062917,327.831195
2,3.082777,260.671648
3,2.599262,270.028600
4,2.678492,334.353692
5,2.634730,259.990799
6,2.655197,316.239452
7,2.904512,292.392258
8,2.701301,287.741318
9,2.744873,223.626038
10,2.988716,294.220180
11,2.731799,366.914296
12,2.933395,241.631049
13,3.089165,249.212513
14,3.099711,285.921745
15,2.775099,288.111320
16,3.006638,199.887487
17,2.919462,313.696749
18,2.619244,299.433938
19,3.039575,291.842245
20,2.785928,291.150326
21,2.638232,253.017957
22,2.570139,322.679911
23,2.860764,255.515866
24,2.549316,298.052995
25,2.906432,272.027223
26,2.853274,409.965703
27,2.757280,274.480458
28,3.118233,211.595049
29,3.036046,373.694117
30,3.080376,184.108948
31,3.123429,361.035428
32,2.943374,326.189506
33,2.936336,288.992928
34,3.148304,302.308583
35,2.694308,125.016336
36,2.591461,261.825355
37,2.634374,302.704858
38,2.827345,284.880487
39,2.902634,258.011879
40,2.629443,280.154678
41,2.669830,245.113201
42,2.834401,291.185730
43,2.851719,260.268341
44,2.881239,244.010856
45,3.131977,271.311505
46,3.087747,247.791993
47,2.517897,295.892875
48,2.843241,305.614892
